skill
Python
Java
C++
JavaScript
HTML
CSS
React
Node
Flask
Django
SQL
MySQL
MongoDB
Pandas
NumPy
Machine Learning
Deep Learning
TensorFlow
Keras
Scikit-learn
Data Analysis
Git
Docker
Linux
Communication
Leadership
Problem Solving
